input_size,sorting_config,algorithm,execution_time
100,random,insertion_sort,0.0001347999980983635
500,random,insertion_sort,0.003581999995124837
5000,random,insertion_sort,0.39263370000602055
10000,random,insertion_sort,1.472411933335631
25000,random,insertion_sort,9.554689433328653
50000,random,insertion_sort,38.997962399967946
100,sorted,insertion_sort,8.066650480031967e-06
500,sorted,insertion_sort,4.2433326598256826e-05
5000,sorted,insertion_sort,0.00039923332709198195
10000,sorted,insertion_sort,0.0008447333239018917
25000,sorted,insertion_sort,0.0022581999849838517
50000,sorted,insertion_sort,0.00417866666490833
75000,sorted,insertion_sort,0.005490466661285609
100000,sorted,insertion_sort,0.008668333330812553
500000,sorted,insertion_sort,0.0694135000036719
1000000,sorted,insertion_sort,0.161982599995099
2000000,sorted,insertion_sort,0.3912732333216506
5000000,sorted,insertion_sort,0.9953352000059871
10000000,sorted,insertion_sort,2.131160233344417
100,reverse_sorted,insertion_sort,0.00020680000307038426
500,reverse_sorted,insertion_sort,0.005698466673493385
5000,reverse_sorted,insertion_sort,0.7308518666541204
10000,reverse_sorted,insertion_sort,2.9881526999912844
25000,reverse_sorted,insertion_sort,19.441871466638986
50000,reverse_sorted,insertion_sort,84.28120269998908
100,flat_list,insertion_sort,7.516667634869616e-05
500,flat_list,insertion_sort,0.0017452666846414406
5000,flat_list,insertion_sort,0.1945567999694807
10000,flat_list,insertion_sort,0.9730704666969056
25000,flat_list,insertion_sort,3.6971351000053496
50000,flat_list,insertion_sort,20.658391533322476
75000,flat_list,insertion_sort,37.74104569999812
