input_size,sorting_config,algorithm,execution_time
100,random,quicksort,4.829999913151065e-05
500,random,quicksort,0.0003275666676927358
5000,random,quicksort,0.004865000005035351
10000,random,quicksort,0.01004829999874346
25000,random,quicksort,0.026917933331181605
50000,random,quicksort,0.06300379999447614
75000,random,quicksort,0.1001467000072201
100000,random,quicksort,0.15690943333902396
500000,random,quicksort,1.0781213666778058
1000000,random,quicksort,2.571000466666495
2000000,random,quicksort,6.527183933338772
5000000,random,quicksort,26.851563700009137
10000000,random,quicksort,86.42898029999924
100,sorted,quicksort,0.0005164333366944144
500,sorted,quicksort,0.007849533343687654
5000,sorted,quicksort,0.907892600002621
10000,sorted,quicksort,3.5479966333368793
25000,sorted,quicksort,21.94107270000192
50000,sorted,quicksort,90.15382406666565
100,reverse_sorted,quicksort,0.00022693331508586803
500,reverse_sorted,quicksort,0.0059828999801538885
5000,reverse_sorted,quicksort,0.6011668999756997
10000,reverse_sorted,quicksort,2.2083767999817305
25000,reverse_sorted,quicksort,12.794111133320257
50000,reverse_sorted,quicksort,47.564865300024394
100,flat_list,quicksort,0.00014500001755853495
500,flat_list,quicksort,0.0033383332968999944
5000,flat_list,quicksort,0.3973769999962921
10000,flat_list,quicksort,1.365264699968975
25000,flat_list,quicksort,14.532493966670396
50000,flat_list,quicksort,32.33512683333053
